address,trans,comforts,education,medical,eatery,culture
대전광역시 대덕구 신탄진동 신탄진로834번길 15,0,27,92,60,408,2
대전광역시 동구 삼성동 대전로867번길 52,2,55,182,115,1163,22
대전광역시 동구 용운동 용운로 163,0,25,73,29,272,10
대전광역시 서구 관저동 도안남로 146,0,37,214,90,726,5
대전광역시 서구 관저동 도안남로 143,0,33,207,90,694,5
대전광역시 서구 괴정동 계룡로536번길 12,1,107,366,280,1433,15
대전광역시 서구 도안동 도안북로 101,0,24,95,17,346,3
대전광역시 서구 둔산동 대덕대로 223,4,105,488,363,1760,25
대전광역시 서구 둔산동 대덕대로 246,3,95,503,377,1725,23
대전광역시 서구 둔산동 대덕대로 248,3,91,487,369,1676,22
대전광역시 서구 둔산동 둔산중로 40,3,105,582,404,1712,27
대전광역시 서구 둔산동 둔산로 133,3,92,567,336,1476,25
대전광역시 서구 둔산동 청사로 148,2,66,268,243,1146,32
대전광역시 서구 둔산동 둔산중로 66,3,91,586,368,1562,26
대전광역시 서구 둔산동 둔산중로 54,3,97,588,399,1664,26
대전광역시 서구 둔산동 둔산북로 121,2,63,417,234,972,19
대전광역시 서구 둔산동 둔산서로 65,3,108,558,396,1776,27
대전광역시 서구 둔산동 둔산남로 85,2,104,575,421,1722,27
대전광역시 서구 둔산동 청사로 160,3,61,261,237,1116,33
대전광역시 서구 만년동 둔산대로117번길 66,0,24,130,40,467,29
대전광역시 서구 만년동 대덕대로 366,1,34,173,71,560,26
대전광역시 서구 만년동 둔산대로117번길 76,0,24,122,37,457,29
대전광역시 서구 만년동 둔산대로117번길 44,0,30,146,66,526,29
대전광역시 서구 월평동 대덕대로 319,2,54,244,153,905,26
대전광역시 서구 월평동 월평북로 95,2,47,222,125,782,23
대전광역시 서구 월평동 대덕대로 325,2,51,234,130,856,24
대전광역시 서구 탄방동 둔산중로 20,2,104,571,426,1737,27
대전광역시 서구 탄방동 둔산중로14번길 36,2,103,550,316,1622,24
대전광역시 유성구 관평동 테크노1로 12-22,0,37,192,80,733,6
대전광역시 유성구 관평동 테크노중앙로 50,0,36,178,68,642,4
대전광역시 유성구 관평동 테크노3로 66,0,36,191,80,750,5
대전광역시 유성구 관평동 테크노1로 12-28,0,36,196,80,741,5
대전광역시 유성구 도룡동 엑스포로123번길 34,0,8,5,0,50,7
대전광역시 유성구 도룡동 엑스포로151번길 19,0,8,5,0,56,7
대전광역시 유성구 도룡동 엑스포로123번길 33,0,8,5,0,49,7
대전광역시 유성구 도룡동 엑스포로123번길 65-38,0,8,6,0,49,6
대전광역시 유성구 도룡동 엑스포로123번길 46-15,0,8,6,0,50,6
대전광역시 유성구 도룡동 엑스포로123번길 26-30,0,9,5,0,56,7
대전광역시 유성구 봉명동 문화원로 107,2,95,105,88,1511,16
대전광역시 유성구 봉명동 온천로 53,2,98,110,116,1657,13
대전광역시 유성구 봉명동 계룡로74번길 12,2,91,170,130,1424,8
대전광역시 유성구 봉명동 온천로 59,2,97,104,114,1658,13
대전광역시 유성구 봉명동 계룡로 84,2,96,163,133,1456,8
대전광역시 유성구 봉명동 온천로 26,2,93,146,117,1446,11
