"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20190401 ~ 20200331"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 대전광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"대전광역시 대덕구 대화동","34","0034","0000","YH드림타운C동","59.04","202002","28","9,900","2","2003","대화1길 17-1"
"대전광역시 대덕구 대화동","27-7","0027","0007","금강","56.26","201904","25","6,200","5","1978","대전로 1247"
"대전광역시 대덕구 대화동","27-7","0027","0007","금강","56.26","201906","13","6,000","2","1978","대전로 1247"
"대전광역시 대덕구 대화동","27-7","0027","0007","금강","56.26","201907","11","7,000","3","1978","대전로 1247"
"대전광역시 대덕구 대화동","27-7","0027","0007","금강","56.26","201908","16","6,900","5","1978","대전로 1247"
"대전광역시 대덕구 대화동","27-7","0027","0007","금강","56.26","201910","1","6,400","1","1978","대전로 1247"
"대전광역시 대덕구 대화동","27-7","0027","0007","금강","56.26","202002","3","7,000","5","1978","대전로 1247"
"대전광역시 대덕구 대화동","27-7","0027","0007","금강","56.26","202003","22","6,600","1","1978","대전로 1247"
"대전광역시 대덕구 대화동","16-2","0016","0002","금성백조","71.96","202001","13","7,500","4","1985","대화로 19"
"대전광역시 대덕구 대화동","16-2","0016","0002","금성백조","71.9","202001","29","7,850","4","1985","대화로 19"
"대전광역시 대덕구 대화동","16-2","0016","0002","금성백조","72.675","202002","12","7,200","5","1985","대화로 19"
"대전광역시 대덕구 대화동","16-2","0016","0002","금성백조","71.96","202003","22","7,900","5","1985","대화로 19"
"대전광역시 대덕구 대화동","40-67","0040","0067","대화","49","201907","24","4,800","2","1979","대화로 53"
"대전광역시 대덕구 대화동","40-67","0040","0067","대화","49","201910","9","2,400","3","1979","대화로 53"
"대전광역시 대덕구 대화동","40-67","0040","0067","대화","49","201912","23","3,200","3","1979","대화로 53"
"대전광역시 대덕구 대화동","40-67","0040","0067","대화","49","202002","11","2,850","4","1979","대화로 53"
"대전광역시 대덕구 대화동","40-67","0040","0067","대화","49","202002","28","3,700","1","1979","대화로 53"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","35.8818","201905","14","7,600","9","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","35.8818","201906","7","7,600","4","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","46.1031","201906","8","9,500","7","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","35.8818","201909","3","6,800","10","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","32.3658","201910","17","6,300","5","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","32.3658","201910","23","6,000","5","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","32.3658","201911","29","6,800","1","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","35.8818","202001","7","6,500","13","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","35.8818","202002","20","7,700","5","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","32.3658","202003","26","6,200","4","2001","대화1길 77"
"대전광역시 대덕구 대화동","16-5","0016","0005","세원풍남","73.515","201905","29","10,400","2","1987","대화11길 11"
"대전광역시 대덕구 대화동","16-5","0016","0005","세원풍남","71.82","201907","15","11,400","2","1987","대화11길 11"
"대전광역시 대덕구 대화동","16-5","0016","0005","세원풍남","71.43","201907","17","9,000","5","1987","대화10길 72"
"대전광역시 대덕구 대화동","16-5","0016","0005","세원풍남","71.82","201907","27","8,250","4","1987","대화11길 11"
"대전광역시 대덕구 대화동","16-5","0016","0005","세원풍남","73.515","201908","14","9,000","3","1987","대화11길 11"
"대전광역시 대덕구 대화동","16-5","0016","0005","세원풍남","73.515","201910","3","9,700","4","1987","대화11길 11"
"대전광역시 대덕구 대화동","16-5","0016","0005","세원풍남","73.515","201910","3","9,500","2","1987","대화11길 11"
"대전광역시 대덕구 대화동","16-5","0016","0005","세원풍남","68.85","201910","9","8,500","4","1987","대화11길 11"
"대전광역시 대덕구 대화동","16-5","0016","0005","세원풍남","71.82","201910","30","11,550","3","1987","대화11길 11"
"대전광역시 대덕구 대화동","16-5","0016","0005","세원풍남","71.43","201911","16","7,700","4","1987","대화10길 72"
"대전광역시 대덕구 대화동","16-5","0016","0005","세원풍남","71.82","201911","19","8,200","4","1987","대화11길 11"
"대전광역시 대덕구 대화동","16-5","0016","0005","세원풍남","73.515","201911","30","8,800","4","1987","대화11길 11"
"대전광역시 대덕구 대화동","16-5","0016","0005","세원풍남","46.53","202001","4","6,900","3","1987","대화11길 11"
"대전광역시 대덕구 대화동","16-5","0016","0005","세원풍남","71.82","202001","13","6,300","5","1987","대화11길 11"
"대전광역시 대덕구 대화동","16-5","0016","0005","세원풍남","64.68","202001","15","6,050","5","1987","대화10길 72"
"대전광역시 대덕구 대화동","16-5","0016","0005","세원풍남","68.85","202002","15","9,600","4","1987","대화11길 11"
"대전광역시 대덕구 대화동","16-5","0016","0005","세원풍남","68.85","202002","17","8,500","1","1987","대화11길 11"
"대전광역시 대덕구 대화동","16-5","0016","0005","세원풍남","54.565","202003","18","7,500","2","1987","대화11길 11"
"대전광역시 대덕구 대화동","16-5","0016","0005","세원풍남","68.85","202003","23","9,000","3","1987","대화11길 11"
"대전광역시 대덕구 대화동","16-5","0016","0005","세원풍남","71.82","202003","25","8,200","5","1987","대화11길 11"
"대전광역시 대덕구 대화동","16-5","0016","0005","세원풍남","68.85","202003","25","9,300","5","1987","대화11길 11"
"대전광역시 대덕구 대화동","16-5","0016","0005","세원풍남","54.18","202003","26","8,000","1","1987","대화11길 11"
"대전광역시 대덕구 대화동","16-5","0016","0005","세원풍남","54.565","202003","28","9,300","3","1987","대화11길 11"
"대전광역시 대덕구 대화동","30-1","0030","0001","소라","60.855","201904","3","6,300","1","1990","동심1길 103"
"대전광역시 대덕구 대화동","30-1","0030","0001","소라","60.855","201905","12","5,250","5","1990","동심1길 103"
"대전광역시 대덕구 대화동","30-1","0030","0001","소라","60.855","201906","8","6,600","2","1990","동심1길 103"
"대전광역시 대덕구 대화동","30-1","0030","0001","소라","60.855","201910","12","6,000","4","1990","동심1길 103"
"대전광역시 대덕구 대화동","30-1","0030","0001","소라","60.855","201910","22","8,300","3","1990","동심1길 103"
"대전광역시 대덕구 대화동","30-1","0030","0001","소라","60.855","201911","7","7,000","2","1990","동심1길 103"
"대전광역시 대덕구 대화동","30-1","0030","0001","소라","60.855","201912","3","7,300","2","1990","동심1길 103"
"대전광역시 대덕구 대화동","30-1","0030","0001","소라","60.855","201912","24","6,000","4","1990","동심1길 103"
"대전광역시 대덕구 대화동","30-1","0030","0001","소라","60.855","202001","2","5,500","5","1990","동심1길 103"
"대전광역시 대덕구 대화동","30-1","0030","0001","소라","60.855","202001","4","5,550","5","1990","동심1길 103"
"대전광역시 대덕구 대화동","30-1","0030","0001","소라","60.855","202001","4","5,200","5","1990","동심1길 103"
"대전광역시 대덕구 대화동","30-1","0030","0001","소라","60.855","202001","28","6,800","4","1990","동심1길 103"
"대전광역시 대덕구 대화동","30-1","0030","0001","소라","60.855","202002","5","7,800","2","1990","동심1길 103"
"대전광역시 대덕구 대화동","30-1","0030","0001","소라","60.855","202002","13","7,400","4","1990","동심1길 103"
"대전광역시 대덕구 대화동","30-1","0030","0001","소라","60.855","202003","1","7,000","3","1990","동심1길 103"
"대전광역시 대덕구 대화동","30-1","0030","0001","소라","60.855","202003","13","6,700","4","1990","동심1길 103"
"대전광역시 대덕구 대화동","30-1","0030","0001","소라","60.855","202003","19","6,900","5","1990","동심1길 103"
"대전광역시 대덕구 대화동","30-1","0030","0001","소라","60.855","202003","24","6,600","5","1990","동심1길 103"
"대전광역시 대덕구 대화동","30-1","0030","0001","소라","60.855","202003","24","6,500","5","1990","동심1길 103"
"대전광역시 대덕구 대화동","16-163","0016","0163","신대화","56.24","201905","31","5,700","1","1983","대전로 1255"
"대전광역시 대덕구 대화동","16-163","0016","0163","신대화","56.24","201911","2","4,700","1","1983","대전로 1255"
"대전광역시 대덕구 대화동","16-163","0016","0163","신대화","56.24","202001","23","4,700","4","1983","대전로 1255"
"대전광역시 대덕구 대화동","253","0253","0000","오광무지개","63.81","201909","4","7,400","2","1986","생산5길 22"
"대전광역시 대덕구 대화동","253","0253","0000","오광무지개","63.81","201910","9","7,300","3","1986","생산5길 22"
"대전광역시 대덕구 대화동","253","0253","0000","오광무지개","63.81","201912","20","7,900","1","1986","생산5길 22"
"대전광역시 대덕구 대화동","253","0253","0000","오광무지개","63.81","201912","21","7,500","4","1986","생산5길 22"
"대전광역시 대덕구 대화동","253","0253","0000","오광무지개","54.54","202001","14","6,800","1","1986","생산5길 22"
"대전광역시 대덕구 대화동","253","0253","0000","오광무지개","54.54","202001","16","7,200","1","1986","생산5길 22"
"대전광역시 대덕구 대화동","253","0253","0000","오광무지개","63.81","202002","16","7,000","5","1986","생산5길 22"
"대전광역시 대덕구 대화동","253","0253","0000","오광무지개","63.81","202003","3","7,200","3","1986","생산5길 22"
"대전광역시 대덕구 대화동","253","0253","0000","오광무지개","63.81","202003","29","8,500","2","1986","생산5길 22"
"대전광역시 대덕구 대화동","229-12","0229","0012","장미","63.36","201910","3","8,000","2","1986","동심5길 16"
"대전광역시 대덕구 대화동","229-12","0229","0012","장미","60.12","201910","29","5,000","5","1986","동심5길 16"
"대전광역시 대덕구 대화동","229-12","0229","0012","장미","63.36","202003","10","8,300","3","1986","동심5길 16"
"대전광역시 대덕구 대화동","229-12","0229","0012","장미","60.12","202003","13","8,100","4","1986","동심5길 16"
"대전광역시 대덕구 대화동","229-12","0229","0012","장미","60.12","202003","31","7,500","3","1986","동심5길 16"
"대전광역시 대덕구 덕암동","62-18","0062","0018","금성백조","44.02","201904","20","4,200","4","1988","덕암로173번길 8"
"대전광역시 대덕구 덕암동","62-18","0062","0018","금성백조","41.5","201908","27","4,200","1","1988","덕암로173번길 8"
"대전광역시 대덕구 덕암동","62-18","0062","0018","금성백조","44.02","201910","30","4,900","3","1988","덕암로173번길 8"
"대전광역시 대덕구 덕암동","62-18","0062","0018","금성백조","31.39","202001","6","3,200","2","1988","덕암로173번길 8"
"대전광역시 대덕구 덕암동","13-5","0013","0005","금호","54.93","202003","23","6,750","3","1985","덕암북로 86"
"대전광역시 대덕구 덕암동","3-7","0003","0007","덕암","34.58","201905","9","5,000","15","1998","덕암로265번길 81"
"대전광역시 대덕구 덕암동","3-7","0003","0007","덕암","41.87","201908","19","5,800","9","1998","덕암로265번길 81"
"대전광역시 대덕구 덕암동","3-7","0003","0007","덕암","41.87","201909","16","5,900","12","1998","덕암로265번길 81"
"대전광역시 대덕구 덕암동","3-7","0003","0007","덕암","41.87","201909","26","5,900","9","1998","덕암로265번길 81"
"대전광역시 대덕구 덕암동","3-7","0003","0007","덕암","41.87","201910","3","5,800","3","1998","덕암로265번길 81"
"대전광역시 대덕구 덕암동","3-7","0003","0007","덕암","41.87","201910","16","4,800","2","1998","덕암로265번길 81"
"대전광역시 대덕구 덕암동","3-7","0003","0007","덕암","41.87","201912","16","6,200","14","1998","덕암로265번길 81"
"대전광역시 대덕구 덕암동","3-7","0003","0007","덕암","41.87","202002","15","5,800","15","1998","덕암로265번길 81"
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201904","22","13,300","13","2009","덕암로234번길 23"
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201905","2","15,006","6","2009","덕암로234번길 23"
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201905","14","15,006","8","2009","덕암로234번길 23"
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201905","24","14,781","3","2009","덕암로234번길 23"
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201908","6","13,500","5","2009","덕암로234번길 23"
"대전광역시 대덕구 덕암동","45-2","0045","0002","삼부덕암마을","105.81","201904","1","19,200","16","2000","덕암로234번길 15"
"대전광역시 대덕구 덕암동","45-2","0045","0002","삼부덕암마을","84.69","201905","10","15,750","18","2000","덕암로234번길 15"
"대전광역시 대덕구 덕암동","45-2","0045","0002","삼부덕암마을","60","201906","2","13,600","22","2000","덕암로234번길 15"
"대전광역시 대덕구 덕암동","45-2","0045","0002","삼부덕암마을","84.69","201906","27","17,000","11","2000","덕암로234번길 15"
"대전광역시 대덕구 덕암동","45-2","0045","0002","삼부덕암마을","60","201907","21","13,200","16","2000","덕암로234번길 15"
"대전광역시 대덕구 덕암동","45-2","0045","0002","삼부덕암마을","84.69","201908","20","17,500","16","2000","덕암로234번길 15"
"대전광역시 대덕구 덕암동","45-2","0045","0002","삼부덕암마을","60","201909","2","13,500","13","2000","덕암로234번길 15"
"대전광역시 대덕구 덕암동","45-2","0045","0002","삼부덕암마을","84.69","201910","8","17,200","16","2000","덕암로234번길 15"
"대전광역시 대덕구 덕암동","45-2","0045","0002","삼부덕암마을","105.81","201910","9","19,500","12","2000","덕암로234번길 15"
"대전광역시 대덕구 덕암동","45-2","0045","0002","삼부덕암마을","60","201910","9","13,400","5","2000","덕암로234번길 15"
"대전광역시 대덕구 덕암동","45-2","0045","0002","삼부덕암마을","105.81","201911","26","19,000","17","2000","덕암로234번길 15"
"대전광역시 대덕구 덕암동","45-2","0045","0002","삼부덕암마을","84.69","201912","7","18,000","4","2000","덕암로234번길 15"
"대전광역시 대덕구 덕암동","45-2","0045","0002","삼부덕암마을","84.69","201912","24","17,000","2","2000","덕암로234번길 15"
"대전광역시 대덕구 덕암동","45-2","0045","0002","삼부덕암마을","84.69","202001","9","18,000","12","2000","덕암로234번길 15"
"대전광역시 대덕구 덕암동","45-2","0045","0002","삼부덕암마을","60","202001","21","13,300","15","2000","덕암로234번길 15"
"대전광역시 대덕구 덕암동","45-2","0045","0002","삼부덕암마을","105.81","202003","16","17,500","1","2000","덕암로234번길 15"
"대전광역시 대덕구 덕암동","45-2","0045","0002","삼부덕암마을","84.69","202003","21","18,000","4","2000","덕암로234번길 15"
"대전광역시 대덕구 덕암동","9-3","0009","0003","삼호(9-3)","56.64","201908","28","5,300","3","1991","덕암북로58번길 23"
"대전광역시 대덕구 덕암동","64-7","0064","0007","신원베스트빌","84.95","201910","25","15,000","7","2004","덕암로167번길 26"
"대전광역시 대덕구 덕암동","64-7","0064","0007","신원베스트빌","84.48","201911","6","14,200","2","2004","덕암로167번길 26"
"대전광역시 대덕구 덕암동","8-1","0008","0001","아트빌","84.745","201912","14","13,500","4","2003","덕암북로22번길 51"
"대전광역시 대덕구 덕암동","2-4","0002","0004","원창주택(A,B동)","57","201906","10","4,750","1","1990","덕암북로10번길 23"
"대전광역시 대덕구 목상동","185-2","0185","0002","다사랑","49.86","201904","9","7,500","4","1993","대덕대로1470번길 55"
"대전광역시 대덕구 목상동","185-2","0185","0002","다사랑","49.86","201905","6","8,250","10","1993","대덕대로1470번길 55"
"대전광역시 대덕구 목상동","185-2","0185","0002","다사랑","49.86","201905","19","7,100","7","1993","대덕대로1470번길 55"
"대전광역시 대덕구 목상동","185-2","0185","0002","다사랑","49.86","201906","8","7,900","10","1993","대덕대로1470번길 55"
"대전광역시 대덕구 목상동","185-2","0185","0002","다사랑","49.86","201906","24","7,500","11","1993","대덕대로1470번길 55"
"대전광역시 대덕구 목상동","185-2","0185","0002","다사랑","49.86","201907","15","7,100","12","1993","대덕대로1470번길 55"
"대전광역시 대덕구 목상동","185-2","0185","0002","다사랑","49.86","201907","16","8,000","12","1993","대덕대로1470번길 55"
"대전광역시 대덕구 목상동","185-2","0185","0002","다사랑","49.86","201908","3","7,850","7","1993","대덕대로1470번길 55"
"대전광역시 대덕구 목상동","185-2","0185","0002","다사랑","49.86","201909","1","7,300","4","1993","대덕대로1470번길 55"
"대전광역시 대덕구 목상동","185-2","0185","0002","다사랑","49.86","201910","1","7,200","12","1993","대덕대로1470번길 55"
"대전광역시 대덕구 목상동","185-2","0185","0002","다사랑","49.86","201910","6","7,500","10","1993","대덕대로1470번길 55"
"대전광역시 대덕구 목상동","185-2","0185","0002","다사랑","49.86","201910","7","7,500","11","1993","대덕대로1470번길 55"
"대전광역시 대덕구 목상동","185-2","0185","0002","다사랑","49.86","201911","3","7,200","13","1993","대덕대로1470번길 55"
"대전광역시 대덕구 목상동","185-2","0185","0002","다사랑","49.86","201911","5","7,500","5","1993","대덕대로1470번길 55"
"대전광역시 대덕구 목상동","185-2","0185","0002","다사랑","49.86","201911","8","7,300","10","1993","대덕대로1470번길 55"
"대전광역시 대덕구 목상동","185-2","0185","0002","다사랑","49.86","201911","9","7,400","14","1993","대덕대로1470번길 55"
"대전광역시 대덕구 목상동","185-2","0185","0002","다사랑","49.86","201911","20","6,900","1","1993","대덕대로1470번길 55"
"대전광역시 대덕구 목상동","185-2","0185","0002","다사랑","49.86","201911","22","8,000","13","1993","대덕대로1470번길 55"
"대전광역시 대덕구 목상동","185-2","0185","0002","다사랑","49.86","201911","23","7,150","9","1993","대덕대로1470번길 55"
"대전광역시 대덕구 목상동","185-2","0185","0002","다사랑","49.86","201912","2","7,800","13","1993","대덕대로1470번길 55"
"대전광역시 대덕구 목상동","185-2","0185","0002","다사랑","49.86","201912","13","8,200","8","1993","대덕대로1470번길 55"
"대전광역시 대덕구 목상동","185-2","0185","0002","다사랑","49.86","201912","16","8,380","8","1993","대덕대로1470번길 55"
"대전광역시 대덕구 목상동","185-2","0185","0002","다사랑","49.86","201912","17","7,950","4","1993","대덕대로1470번길 55"
"대전광역시 대덕구 목상동","185-2","0185","0002","다사랑","49.86","202001","7","8,400","9","1993","대덕대로1470번길 55"
"대전광역시 대덕구 목상동","185-2","0185","0002","다사랑","49.86","202001","7","8,400","14","1993","대덕대로1470번길 55"
"대전광역시 대덕구 목상동","185-2","0185","0002","다사랑","49.86","202002","1","8,400","6","1993","대덕대로1470번길 55"
"대전광역시 대덕구 목상동","185-2","0185","0002","다사랑","49.86","202002","10","7,950","10","1993","대덕대로1470번길 55"
"대전광역시 대덕구 목상동","185-2","0185","0002","다사랑","49.86","202002","21","8,000","10","1993","대덕대로1470번길 55"
