"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20190401 ~ 20200331"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 대전광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세(만원)","층","건축년도","도로명"
"대전광역시 대덕구 대화동","27-7","0027","0007","금강","전세","56.26","201907","19","3,500","0","2","1978","대전로 1247"
"대전광역시 대덕구 대화동","27-7","0027","0007","금강","전세","56.26","201911","9","3,500","0","1","1978","대전로 1247"
"대전광역시 대덕구 대화동","27-7","0027","0007","금강","전세","56.26","202001","14","3,500","0","2","1978","대전로 1247"
"대전광역시 대덕구 대화동","27-7","0027","0007","금강","전세","56.26","202001","30","3,500","0","2","1978","대전로 1247"
"대전광역시 대덕구 대화동","27-7","0027","0007","금강","월세","73.55","202002","1","1,000","20","3","1978","대전로 1247"
"대전광역시 대덕구 대화동","16-2","0016","0002","금성백조","전세","62.085","201907","7","5,000","0","2","1985","대화로 19"
"대전광역시 대덕구 대화동","16-2","0016","0002","금성백조","월세","71.96","201909","23","500","35","5","1985","대화로 19"
"대전광역시 대덕구 대화동","16-2","0016","0002","금성백조","전세","62.085","201910","28","5,000","0","2","1985","대화로 19"
"대전광역시 대덕구 대화동","16-2","0016","0002","금성백조","전세","70.425","202001","4","3,500","0","5","1985","대화로 19"
"대전광역시 대덕구 대화동","16-2","0016","0002","금성백조","전세","70.425","202001","4","3,500","0","5","1985","대화로 19"
"대전광역시 대덕구 대화동","16-2","0016","0002","금성백조","월세","71.96","202002","1","1,000","35","2","1985","대화로 19"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","전세","32.3658","201904","6","3,000","0","1","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","월세","32.3658","201904","15","500","25","10","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","전세","32.3665","201904","16","4,000","0","12","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","전세","35.8818","201904","22","5,500","0","6","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","전세","32.3658","201905","3","4,200","0","13","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","전세","35.8818","201905","6","5,500","0","11","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","전세","35.8818","201905","20","4,500","0","9","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","전세","32.3658","201905","27","4,500","0","14","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","전세","35.8818","201906","6","3,000","0","1","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","전세","35.8818","201906","13","4,800","0","5","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","전세","35.8818","201906","14","4,500","0","12","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","월세","35.8818","201907","11","500","24","14","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","전세","32.3658","201907","22","4,000","0","3","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","월세","35.8818","201907","31","500","30","10","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","전세","35.8818","201908","15","5,000","0","7","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","전세","32.3658","201908","19","4,200","0","7","2001","대화1길 77"
