"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20190401 ~ 20200331"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 대전광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"대전광역시 대덕구 대화동","36-20","0036","0020","가든","46.7","54.5","201906","15","5,700","2","1984","대화15길 91-4"
"대전광역시 대덕구 대화동","250-16","0250","0016","국민연립","61.2","84.2","201907","19","4,500","2","1985","동심8길 14"
"대전광역시 대덕구 대화동","35-495","0035","0495","금성백조A동","68.75","52.39","201910","24","6,000","3","1983","동심5길 38"
"대전광역시 대덕구 대화동","35-495","0035","0495","금성백조A동","68.75","52.39","201912","18","7,000","3","1983","동심5길 38"
"대전광역시 대덕구 대화동","241-11","0241","0011","금성백조하우스","60.96","57.11","202003","19","9,750","1","1981","동심8길 2"
"대전광역시 대덕구 대화동","35-135","0035","0135","다정하이츠","38.61","17.73","201906","8","2,950","4","2003","대화10길 7"
"대전광역시 대덕구 대화동","35-135","0035","0135","다정하이츠","38.61","17.73","201908","29","2,100","3","2003","대화10길 7"
"대전광역시 대덕구 대화동","250-2","0250","0002","대화연립","52.5","63","201910","14","4,000","1","1979","생산5길 40"
"대전광역시 대덕구 대화동","35-390","0035","0390","두방빌라","57.6","32.13","202002","25","4,700","4","1993","대오길 90-1"
"대전광역시 대덕구 대화동","35-390","0035","0390","두방빌라","57.6","32.13","202003","9","5,400","3","1993","대오길 90-1"
"대전광역시 대덕구 대화동","31-24","0031","0024","무궁화연립","47.97","44.37","202001","6","2,900","3","1981","동심1길 59"
"대전광역시 대덕구 대화동","35-1185","0035","1185","석빌라","48.58","18.18","201904","25","3,250","5","2003","대화10길 5"
"대전광역시 대덕구 대화동","16-13","0016","0013","전원주택","54.81","61.45","201908","7","4,450","1","1985","대화12길 14"
"대전광역시 대덕구 대화동","16-13","0016","0013","전원주택","54.81","61.45","201912","11","4,100","3","1985","대화12길 14"
"대전광역시 대덕구 대화동","35-455","0035","0455","정은하이츠","49.03","14.95","201906","20","3,200","3","2002","대화2길 48"
"대전광역시 대덕구 대화동","35-455","0035","0455","정은하이츠","50.88","15.51","201906","20","3,150","2","2002","대화2길 48"
"대전광역시 대덕구 대화동","35-455","0035","0455","정은하이츠","49.03","14.95","201906","20","3,100","2","2002","대화2길 48"
"대전광역시 대덕구 대화동","35-455","0035","0455","정은하이츠","50.88","15.51","201906","20","3,050","4","2002","대화2길 48"
"대전광역시 대덕구 대화동","35-455","0035","0455","정은하이츠","50.88","15.51","201906","20","3,050","1","2002","대화2길 48"
"대전광역시 대덕구 대화동","35-455","0035","0455","정은하이츠","48.61","14.83","201906","20","2,600","-1","2002","대화2길 48"
"대전광역시 대덕구 대화동","35-455","0035","0455","정은하이츠","47","14.33","201906","20","2,600","-1","2002","대화2길 48"
"대전광역시 대덕구 대화동","35-455","0035","0455","정은하이츠","50.88","15.51","201906","20","3,250","3","2002","대화2길 48"
"대전광역시 대덕구 대화동","35-455","0035","0455","정은하이츠","49.03","14.95","201906","20","3,000","4","2002","대화2길 48"
"대전광역시 대덕구 대화동","35-455","0035","0455","정은하이츠","49.03","14.95","201906","20","3,000","1","2002","대화2길 48"
"대전광역시 대덕구 대화동","35-359","0035","0359","태성빌라","48.54","19.91","201908","31","5,500","5","2005","대화9길 5-1"
"대전광역시 대덕구 대화동","35-741","0035","0741","파랑새빌라","53.49","28.87","201910","1","7,000","2","1998","대화9길 32"
"대전광역시 대덕구 덕암동","79-17","0079","0017","건영하이츠(B동)","76.605","78.25","201909","16","12,500","2","1999","덕암로153번길 13"
"대전광역시 대덕구 덕암동","14-3","0014","0003","경희빌라","46.68","37.71","201909","5","2,800","1","1990","덕암북로104번길 12"
"대전광역시 대덕구 덕암동","79-8","0079","0008","광산빌라(1,2동)","51.72","32.93","201911","15","5,000","4","1994","덕암로125번안길 38"
"대전광역시 대덕구 덕암동","79-8","0079","0008","광산빌라(1,2동)","51.72","32.93","202001","15","3,500","4","1994","덕암로125번안길 38"
"대전광역시 대덕구 덕암동","79-12","0079","0012","광산빌라(A,B동)","58.92","37.27","201908","1","6,800","2","1994","덕암로125번안길 34"
"대전광역시 대덕구 덕암동","55-4","0055","0004","그린피아빌라(A,B동)","66.27","44.25","201910","28","5,500","3","1996","덕암로221번길 33"
"대전광역시 대덕구 덕암동","78-23","0078","0023","늘푸른빌라(A동)","37.26","22.91","201912","17","2,750","4","1997","덕암로147번길 9"
"대전광역시 대덕구 덕암동","15-5","0015","0005","대림빌리지","22.554","13.24","201908","1","2,400","1","2002","덕암북로96번길 12"
