"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20190401 ~ 20200331"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 대전광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"대전광역시 대덕구 신탄진동","117-30","117","30","(117-30)","79.87","201909","20","16,500","8","2019","신탄진로834번길 15"
"대전광역시 대덕구 신탄진동","117-30","117","30","(117-30)","31.64","202002","6","8,100","9","2019","신탄진로834번길 15"
"대전광역시 동구 삼성동","125-6","125","6","한밭오피스텔","33.71","201911","11","1,950","5","1991","대전로867번길 52"
"대전광역시 동구 삼성동","125-6","125","6","한밭오피스텔","28.05","201911","13","1,600","9","1991","대전로867번길 52"
"대전광역시 동구 삼성동","125-6","125","6","한밭오피스텔","28.05","201911","18","1,700","3","1991","대전로867번길 52"
"대전광역시 동구 삼성동","125-6","125","6","한밭오피스텔","28.05","201912","30","1,700","5","1991","대전로867번길 52"
"대전광역시 동구 삼성동","125-6","125","6","한밭오피스텔","28.05","202001","2","1,300","7","1991","대전로867번길 52"
"대전광역시 동구 삼성동","125-6","125","6","한밭오피스텔","25.41","202001","2","1,000","10","1991","대전로867번길 52"
"대전광역시 동구 삼성동","125-6","125","6","한밭오피스텔","30.58","202001","16","1,700","6","1991","대전로867번길 52"
"대전광역시 동구 삼성동","125-6","125","6","한밭오피스텔","28.05","202001","16","1,700","6","1991","대전로867번길 52"
"대전광역시 동구 삼성동","125-6","125","6","한밭오피스텔","28.05","202002","1","1,500","3","1991","대전로867번길 52"
"대전광역시 동구 삼성동","125-6","125","6","한밭오피스텔","30.58","202002","11","1,700","5","1991","대전로867번길 52"
"대전광역시 동구 삼성동","125-6","125","6","한밭오피스텔","28.05","202002","11","1,700","5","1991","대전로867번길 52"
"대전광역시 동구 용운동","296-1","296","1","	(296-1)	","48.59","201912","20","3,240","6","1991","용운로 163"
"대전광역시 서구 관저동","1751","1751","0","(1751)","27.4","201906","3","9,350","6","2018","도안남로 146"
"대전광역시 서구 관저동","1751","1751","0","(1751)","27.4","201906","10","9,000","3","2018","도안남로 146"
"대전광역시 서구 관저동","1751","1751","0","(1751)","27.4","201906","19","9,000","3","2018","도안남로 146"
"대전광역시 서구 관저동","1751","1751","0","(1751)","27.4","201910","19","8,700","5","2018","도안남로 146"
"대전광역시 서구 관저동","1751","1751","0","(1751)","27.4","201911","26","8,950","6","2018","도안남로 146"
"대전광역시 서구 관저동","1751","1751","0","(1751)","27.4","201911","30","9,000","4","2018","도안남로 146"
"대전광역시 서구 관저동","1751","1751","0","(1751)","27.4","202002","28","9,000","5","2018","도안남로 146"
"대전광역시 서구 관저동","1751","1751","0","(1751)","27.4","202002","28","9,000","5","2018","도안남로 146"
"대전광역시 서구 관저동","1751","1751","0","(1751)","27.4","202003","11","9,000","3","2018","도안남로 146"
"대전광역시 서구 관저동","1888","1888","0","아토빌딩","18.64","202001","18","9,279","5","2019","도안남로 143"
"대전광역시 서구 괴정동","15-36","15","36","성철오피스텔","45.54","201910","14","30,800","5","2004","계룡로536번길 12"
"대전광역시 서구 도안동","878","878","0","도안타워","25.29","201904","5","5,800","6","2012","도안북로 101"
"대전광역시 서구 도안동","878","878","0","도안타워","25.29","201904","5","5,800","5","2012","도안북로 101"
"대전광역시 서구 도안동","878","878","0","도안타워","25.29","201904","5","5,800","6","2012","도안북로 101"
"대전광역시 서구 도안동","878","878","0","도안타워","25.29","201904","5","5,800","5","2012","도안북로 101"
"대전광역시 서구 도안동","878","878","0","도안타워","25.29","201904","5","5,800","6","2012","도안북로 101"
"대전광역시 서구 둔산동","1033","1033","0","	(1033)	","27.91","201906","12","3,500","16","1998","대덕대로 223"
"대전광역시 서구 둔산동","1033","1033","0","	(1033)	","23.91","201906","15","2,800","17","1998","대덕대로 223"
"대전광역시 서구 둔산동","1033","1033","0","	(1033)	","35.68","201907","23","4,800","16","1998","대덕대로 223"
"대전광역시 서구 둔산동","1033","1033","0","	(1033)	","25.64","201907","29","3,550","10","1998","대덕대로 223"
"대전광역시 서구 둔산동","1033","1033","0","	(1033)	","27","201908","2","3,200","11","1998","대덕대로 223"
"대전광역시 서구 둔산동","1033","1033","0","	(1033)	","25.64","201908","9","2,900","10","1998","대덕대로 223"
"대전광역시 서구 둔산동","1033","1033","0","	(1033)	","23.91","201910","8","2,600","11","1998","대덕대로 223"
"대전광역시 서구 둔산동","1033","1033","0","	(1033)	","35.68","201910","19","4,100","15","1998","대덕대로 223"
"대전광역시 서구 둔산동","1033","1033","0","	(1033)	","35.68","201912","17","4,500","12","1998","대덕대로 223"
"대전광역시 서구 둔산동","1369","1369","0","넥서스밸리(1369-0)","36.12","201907","25","6,000","5","2005","대덕대로 246"
"대전광역시 서구 둔산동","1369","1369","0","넥서스밸리(1369-0)","26.85","201908","21","6,700","12","2005","대덕대로 246"
"대전광역시 서구 둔산동","1369","1369","0","넥서스밸리(1369-0)","26.85","201909","26","6,350","8","2005","대덕대로 246"
"대전광역시 서구 둔산동","1369","1369","0","넥서스밸리(1369-0)","31.02","201911","18","6,700","10","2005","대덕대로 246"
"대전광역시 서구 둔산동","1369","1369","0","넥서스밸리(1369-0)","31.44","201912","27","6,500","11","2005","대덕대로 246"
"대전광역시 서구 둔산동","1369","1369","0","넥서스밸리(1369-0)","26.85","202003","9","6,600","14","2005","대덕대로 246"
"대전광역시 서구 둔산동","1370","1370","0","넥서스밸리(1370-0)","27.21","201904","19","6,200","7","2005","대덕대로 248"
"대전광역시 서구 둔산동","1370","1370","0","넥서스밸리(1370-0)","24.11","201905","18","4,400","4","2005","대덕대로 248"
"대전광역시 서구 둔산동","1370","1370","0","넥서스밸리(1370-0)","31.44","201908","9","6,500","13","2005","대덕대로 248"
"대전광역시 서구 둔산동","1370","1370","0","넥서스밸리(1370-0)","27.21","201908","31","5,600","3","2005","대덕대로 248"
"대전광역시 서구 둔산동","1370","1370","0","넥서스밸리(1370-0)","24.11","201909","5","4,200","9","2005","대덕대로 248"
"대전광역시 서구 둔산동","1370","1370","0","넥서스밸리(1370-0)","31.02","201910","26","7,000","15","2005","대덕대로 248"
"대전광역시 서구 둔산동","1370","1370","0","넥서스밸리(1370-0)","24.11","201911","21","4,500","5","2005","대덕대로 248"
"대전광역시 서구 둔산동","1370","1370","0","넥서스밸리(1370-0)","31.02","201912","31","6,700","14","2005","대덕대로 248"
"대전광역시 서구 둔산동","1370","1370","0","넥서스밸리(1370-0)","26.85","202001","9","6,800","11","2005","대덕대로 248"
"대전광역시 서구 둔산동","1417","1417","0","둔산 더 리치빌","31.95","201907","11","6,100","5","2004","둔산중로 40"
"대전광역시 서구 둔산동","1417","1417","0","둔산 더 리치빌","26.74","201910","26","5,000","14","2004","둔산중로 40"
"대전광역시 서구 둔산동","1417","1417","0","둔산 더 리치빌","31.95","201911","12","6,000","12","2004","둔산중로 40"
"대전광역시 서구 둔산동","1417","1417","0","둔산 더 리치빌","31.95","201911","16","5,500","8","2004","둔산중로 40"
"대전광역시 서구 둔산동","1417","1417","0","둔산 더 리치빌","32.69","201911","24","6,500","7","2004","둔산중로 40"
"대전광역시 서구 둔산동","1417","1417","0","둔산 더 리치빌","31.95","201911","27","6,000","11","2004","둔산중로 40"
