"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20190401 ~ 20200331"
"실거래구분 : 오피스텔(전월세)"
"주소구분 : 지번주소"
"시도 : 대전광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세(만원)","층","건축년도","도로명"
"대전광역시 대덕구 중리동","251-1","0251","0001","(251-1)","전세","39.05","201911","19","6,000","0","3","2008","한밭대로 1158"
"대전광역시 대덕구 중리동","251-1","0251","0001","(251-1)","월세","58.47","201912","24","2,000","40","7","2008","한밭대로 1158"
"대전광역시 대덕구 중리동","251-1","0251","0001","(251-1)","월세","59.17","201912","30","500","40","4","2008","한밭대로 1158"
"대전광역시 대덕구 중리동","251-1","0251","0001","(251-1)","월세","39.82","202001","18","2,000","35","4","2008","한밭대로 1158"
"대전광역시 대덕구 중리동","251-1","0251","0001","(251-1)","월세","38.77","202002","26","300","28","8","2008","한밭대로 1158"
"대전광역시 서구 갈마동","913","0913","0000","좋은하루2차","전세","22.12","201907","20","5,000","0","2","2012","대덕대로167번길 37"
"대전광역시 서구 관저동","1751","1751","0000","(1751)","월세","27.4","201905","5","1,000","40","5","2018","도안남로 146"
"대전광역시 서구 관저동","1751","1751","0000","(1751)","전세","27.4","201905","14","7,500","0","3","2018","도안남로 146"
"대전광역시 서구 관저동","1751","1751","0000","(1751)","월세","27.4","201906","8","2,000","33","3","2018","도안남로 146"
"대전광역시 서구 관저동","1751","1751","0000","(1751)","전세","27.4","201906","16","7,500","0","4","2018","도안남로 146"
"대전광역시 서구 관저동","1751","1751","0000","(1751)","월세","27.4","201906","21","2,000","33","5","2018","도안남로 146"
"대전광역시 서구 관저동","1751","1751","0000","(1751)","전세","27.4","201906","26","7,500","0","4","2018","도안남로 146"
"대전광역시 서구 관저동","1751","1751","0000","(1751)","전세","27.4","201907","4","7,500","0","6","2018","도안남로 146"
"대전광역시 서구 관저동","1751","1751","0000","(1751)","월세","27.4","201907","8","3,000","28","3","2018","도안남로 146"
"대전광역시 서구 관저동","1751","1751","0000","(1751)","월세","27.4","201908","15","500","45","4","2018","도안남로 146"
"대전광역시 서구 관저동","1751","1751","0000","(1751)","월세","27.4","201908","24","500","45","4","2018","도안남로 146"
"대전광역시 서구 관저동","1751","1751","0000","(1751)","전세","27.4","201911","12","7,800","0","3","2018","도안남로 146"
"대전광역시 서구 관저동","1751","1751","0000","(1751)","월세","27.4","201912","22","500","45","3","2018","도안남로 146"
"대전광역시 서구 관저동","1751","1751","0000","(1751)","월세","27.4","202001","30","500","45","4","2018","도안남로 146"
"대전광역시 서구 괴정동","423-6","0423","0006","나이스 팰리스","월세","36.16","202003","7","1,500","45","2","2019","도솔로388번길 52"
"대전광역시 서구 도안동","878","0878","0000","도안타워","월세","25.29","202001","3","300","35","5","2012","도안북로 101"
"대전광역시 서구 도안동","876","0876","0000","목원캐릭빌","월세","19.87","202002","19","300","35","5","2012","도안북로 97"
"대전광역시 서구 도안동","876","0876","0000","목원캐릭빌","월세","19.87","202002","20","300","35","5","2012","도안북로 97"
"대전광역시 서구 둔산동","1033","1033","0000","	(1033)	","월세","27","201907","11","300","30","12","1998","대덕대로 223"
"대전광역시 서구 둔산동","1369","1369","0000","넥서스밸리(1369-0)","전세","26.85","201904","8","6,000","0","3","2005","대덕대로 246"
"대전광역시 서구 둔산동","1369","1369","0000","넥서스밸리(1369-0)","전세","31.44","201904","28","7,000","0","4","2005","대덕대로 246"
"대전광역시 서구 둔산동","1369","1369","0000","넥서스밸리(1369-0)","전세","31.02","201905","23","6,000","0","3","2005","대덕대로 246"
"대전광역시 서구 둔산동","1369","1369","0000","넥서스밸리(1369-0)","월세","24.11","201906","8","500","29","12","2005","대덕대로 246"
"대전광역시 서구 둔산동","1369","1369","0000","넥서스밸리(1369-0)","월세","26.85","201906","25","3,000","18","7","2005","대덕대로 246"
"대전광역시 서구 둔산동","1369","1369","0000","넥서스밸리(1369-0)","월세","26.85","201907","17","1,000","35","11","2005","대덕대로 246"
