"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"강원도 강릉시 남항진동","42","42","0","남항진오피스텔 (강길규)","38.2","202004","13","30,200","5","2019","공항길127번길 22"
"강원도 강릉시 남항진동","42","42","0","남항진오피스텔 (강길규)","39.87","202004","13","30,700","5","2019","공항길127번길 22"
"강원도 강릉시 남항진동","42","42","0","남항진오피스텔 (강길규)","40.66","202004","13","30,700","5","2019","공항길127번길 22"
"강원도 강릉시 남항진동","42","42","0","남항진오피스텔 (강길규)","40.66","202004","13","30,700","5","2019","공항길127번길 22"
"강원도 강릉시 남항진동","42","42","0","남항진오피스텔 (강길규)","40.66","202004","13","26,700","4","2019","공항길127번길 22"
"강원도 강릉시 남항진동","42","42","0","남항진오피스텔 (강길규)","40.66","202004","13","26,700","4","2019","공항길127번길 22"
"강원도 강릉시 유천동","776-4","776","4","유천올림피아오피스텔","23.58","202004","28","10,537","1","2016","사임당로 180"
"강원도 강릉시 유천동","776-4","776","4","유천올림피아오피스텔","25.1","202004","28","10,003","2","2016","사임당로 180"
"강원도 강릉시 홍제동","1035-1","1035","1","푸르벨라 1차","26.22","202004","7","9,100","7","2016"," "
"강원도 동해시 묵호진동","2-2","2","2","삼양비취타워","39.6","202004","25","4,950","5","1998","일출로 151"
"강원도 속초시 영랑동","148-9","148","9","설악비치리조텔","31.88","202004","14","4,500","10","1991","중앙로 346"
"강원도 속초시 영랑동","148-9","148","9","설악비치리조텔","31.88","202004","24","5,700","9","1991","중앙로 346"
"강원도 속초시 영랑동","148-9","148","9","설악비치리조텔","31.88","202004","24","4,500","5","1991","중앙로 346"
"강원도 원주시 반곡동","1903-6","1903","6","(1903-6)","29.6","202004","13","9,500","8","2017"," "
"강원도 원주시 우산동","231-3","231","3","(231-3)","84.39","202004","17","11,415","4","2018","우산초교길 27-5"
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","57.92","202004","3","34,900","21","2019","덕수천2로 150"
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","57.92","202004","16","35,000","25","2019","덕수천2로 150"
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","57.92","202004","18","40,000","12","2019","덕수천2로 150"
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","75.93","202004","7","43,000","2","2019","동송로 23-28"
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","75.93","202004","11","45,800","10","2019","동송로 23-28"
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","75.94","202004","15","50,500","23","2019","동송로 23-28"
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","57.92","202004","18","34,750","2","2019","동송로 23-28"
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","75.93","202004","18","45,000","7","2019","동송로 23-28"
"경기도 고양덕양구 동산동","369","369","0","이편한세상시티삼송","77.51","202004","15","53,000","16","2018","동송로 33"
"경기도 고양덕양구 동산동","369","369","0","이편한세상시티삼송","77.51","202004","21","52,000","17","2018","동송로 33"
"경기도 고양덕양구 동산동","369","369","0","이편한세상시티삼송","73.51","202004","23","49,000","12","2018","동송로 33"
"경기도 고양덕양구 동산동","369","369","0","이편한세상시티삼송","69.66","202004","25","49,000","16","2018","동송로 33"
"경기도 고양덕양구 삼송동","289","289","0","현대썬앤빌","48.11","202004","4","27,800","19","2018","삼송로 210"
"경기도 고양덕양구 삼송동","289","289","0","현대썬앤빌","48.11","202004","11","26,000","15","2018","삼송로 210"
"경기도 고양덕양구 삼송동","291","291","0","힐스테이트 삼송역","65.58","202004","28","45,300","41","2019","동송로 70"
"경기도 고양덕양구 원흥동","627","627","0","3호선 원흥역 봄오피스텔","23.76","202004","1","14,500","15","2018","권율대로 672"
"경기도 고양덕양구 원흥동","627","627","0","3호선 원흥역 봄오피스텔","23.76","202004","1","14,500","12","2018","권율대로 672"
"경기도 고양덕양구 원흥동","627","627","0","3호선 원흥역 봄오피스텔","42.97","202004","2","25,000","9","2018","권율대로 672"
"경기도 고양덕양구 원흥동","627","627","0","3호선 원흥역 봄오피스텔","23.76","202004","7","14,500","18","2018","권율대로 672"
"경기도 고양덕양구 화정동","984-7","984","7","우경싸이트빌","29.25","202004","6","10,000","11","2002","화신로272번길 11"
"경기도 고양덕양구 화정동","1000-1","1000","1","화정건영캐스빌플러스","34.43","202004","21","8,300","8","2004","화신로 259"
"경기도 고양일산동구 백석동","1309","1309","0","백석 우림보보카운티","33.97","202004","29","9,800","4","2005","일산로 38"
"경기도 고양일산동구 백석동","1288","1288","0","백석동 대우IAAN","75.48","202004","6","24,200","7","2005","강석로 33"
"경기도 고양일산동구 백석동","1302","1302","0","백석역 동문굿모닝힐","45.87","202004","8","11,700","2","2003","장백로 20"
"경기도 고양일산동구 백석동","1301","1301","0","백석역 동문굿모닝힐1 101동","45.87","202004","23","11,900","5","2003","장백로 10"
"경기도 고양일산동구 백석동","1319","1319","0","백석역동문굿모닝힐II(1319-0)","35.18","202004","2","13,000","8","2004","경의로 25-37"
"경기도 고양일산동구 백석동","1319","1319","0","백석역동문굿모닝힐II(1319-0)","29.33","202004","16","10,100","7","2004","경의로 25-37"
"경기도 고양일산동구 백석동","1320","1320","0","백석역동문굿모닝힐II(1320-0)","26.99","202004","29","9,500","2","2004","호수로 340-25"
"경기도 고양일산동구 백석동","1321","1321","0","백석역동문굿모닝힐II(1321-0)","26.99","202004","7","10,900","7","2004","호수로 358-26"
"경기도 고양일산동구 백석동","1321","1321","0","백석역동문굿모닝힐II(1321-0)","29.33","202004","7","11,000","8","2004","호수로 358-26"
"경기도 고양일산동구 백석동","1322","1322","0","백석역동문굿모닝힐II(1322-0)","26.99","202004","22","10,000","5","2004","경의로 25-53"
"경기도 고양일산동구 백석동","1330","1330","0","브라운스톤일산","103.26","202004","24","31,000","13","2005","호수로 336"
"경기도 고양일산동구 백석동","1331","1331","0","영림브레아오피스텔","28.12","202004","1","10,200","7","2004","중앙로 1047"
"경기도 고양일산동구 백석동","1331","1331","0","영림브레아오피스텔","33.44","202004","30","11,300","5","2004","중앙로 1047"
"경기도 고양일산동구 백석동","1237","1237","0","일산 요진 와이시티","33.33","202004","14","23,500","5","null"," "
"경기도 고양일산동구 백석동","1316","1316","0","현대밀라트(1316-0)","103.34","202004","22","29,800","8","2003","경의로 33"
"경기도 고양일산동구 백석동","1300","1300","0","현대밀라트2차(1300-0)","36.28","202004","1","12,000","3","2003","중앙로 1005"
"경기도 고양일산동구 백석동","1300","1300","0","현대밀라트2차(1300-0)","35.14","202004","10","11,850","9","2003","중앙로 1005"
"경기도 고양일산동구 백석동","1300","1300","0","현대밀라트2차(1300-0)","31.77","202004","15","10,300","4","2003","중앙로 1005"
"경기도 고양일산동구 백석동","1303","1303","0","현대밀라트2차(1303-0)","35.14","202004","2","11,950","7","2003","중앙로 1011"
"경기도 고양일산동구 장항동","751","751","0","삼성라끄빌","46.83","202004","22","12,400","3","2002","호수로 662"
"경기도 고양일산동구 장항동","752","752","0","삼성메르헨하우스","32.84","202004","14","10,700","6","2003","무궁화로 8-28"
"경기도 고양일산동구 장항동","746-1","746","1","양우로데오시티플러스","33.32","202004","2","10,250","11","2004","무궁화로 7-45"
"경기도 고양일산동구 장항동","771-1","771","1","우림로데오스위트","70.74","202004","7","21,300","6","2005","중앙로1275번길 38-10"
"경기도 고양일산동구 장항동","771-1","771","1","우림로데오스위트","32.59","202004","17","10,500","13","2005","중앙로1275번길 38-10"
"경기도 고양일산동구 장항동","746","746","0","우인아크리움빌II","33.15","202004","2","9,500","13","2004","무궁화로 7-63"
"경기도 고양일산동구 장항동","730","730","0","우인아크리움빌Ⅰ","58.86","202004","16","13,000","3","2003","무궁화로 43-50"
"경기도 고양일산동구 장항동","853-1","853","1","웨스턴853","25.61","202004","9","12,000","5","2017","정발산로42번길 60"
"경기도 고양일산동구 장항동","853-1","853","1","웨스턴853","24.01","202004","23","12,000","9","2017","정발산로42번길 60"
"경기도 고양일산동구 장항동","853-1","853","1","웨스턴853","34.48","202004","24","16,000","5","2017","정발산로42번길 60"
"경기도 고양일산동구 장항동","778","778","0","일산 우림보보카운티 I","23.85","202004","10","7,800","6","2003","무궁화로 40"
"경기도 고양일산동구 장항동","778","778","0","일산 우림보보카운티 I","21.96","202004","29","8,000","7","2003","무궁화로 40"
"경기도 고양일산동구 장항동","775-1","775","1","일산마이다스 오피스텔","70.59","202004","23","24,750","10","2000","중앙로 1305-30"
"경기도 고양일산동구 장항동","754","754","0","중앙 하이츠빌","34.83","202004","14","16,300","12","2004","중앙로1275번길 86-1"
"경기도 고양일산동구 장항동","753","753","0","청원레이크빌","40.6","202004","21","13,000","15","1999","중앙로1275번길 86-23"
"경기도 고양일산동구 장항동","749","749","0","코오롱 레이크 폴리스ll","188.83","202004","6","51,000","12","2003","호수로 688"
"경기도 고양일산동구 장항동","749","749","0","코오롱 레이크 폴리스ll","148.27","202004","6","42,500","7","2003","호수로 688"
"경기도 고양일산동구 장항동","749","749","0","코오롱 레이크 폴리스ll","122.45","202004","23","32,000","6","2003","호수로 688"
"경기도 고양일산동구 장항동","744","744","0","코오롱레이크폴리스-lll(744-0)","41.97","202004","7","12,600","9","2004","고봉로 20-32"
"경기도 고양일산동구 장항동","759","759","0","하임빌로데오빌딩","31","202004","15","8,300","6","2003","무궁화로 20-18"
"경기도 고양일산동구 장항동","759","759","0","하임빌로데오빌딩","31","202004","17","8,500","7","2003","무궁화로 20-18"
"경기도 고양일산동구 장항동","752-1","752","1","호수그린오피스텔","59.41","202004","20","14,000","15","2000","무궁화로 8-38"
"경기도 고양일산서구 대화동","2206-1","2206","1","대화씨티빌","30.02","202004","3","8,400","5","2002","강성로 271"
"경기도 고양일산서구 대화동","2223","2223","0","삼운트루아오피스텔","37.24","202004","24","12,500","9","2003","중앙로 1557"
"경기도 고양일산서구 대화동","2199","2199","0","신동아노블타워","20.03","202004","1","8,800","10","2004","중앙로 1542"
"경기도 고양일산서구 대화동","2199","2199","0","신동아노블타워","36.36","202004","19","10,800","10","2004","중앙로 1542"
"경기도 고양일산서구 대화동","2239-1","2239","1","월드메르디앙오피스텔","65.19","202004","3","20,000","4","2005","주화로 180"
"경기도 고양일산서구 대화동","2702","2702","0","일산 더샵 그라비스타","84.48","202004","5","50,000","15","2019","킨텍스로 217-23"
"경기도 고양일산서구 대화동","2702","2702","0","일산 더샵 그라비스타","84.48","202004","30","58,500","24","2019","킨텍스로 217-23"
"경기도 고양일산서구 대화동","2603","2603","0","킨텍스 꿈에그린","84.49","202004","25","56,400","14","2019","킨텍스로 240"
"경기도 고양일산서구 주엽동","102-2","102","2","블루힐132오피스텔","28.19","202004","7","8,100","7","1997","주화로 40"
"경기도 고양일산서구 주엽동","102-2","102","2","블루힐132오피스텔","28.19","202004","8","8,200","7","1997","주화로 40"
"경기도 광명시 일직동","511-3","511","3","K SQUARE","25.53","202004","4","12,000","9","2016"," "
"경기도 광명시 일직동","511-3","511","3","K SQUARE","51.05","202004","8","27,075","4","2016"," "
"경기도 광명시 일직동","511-3","511","3","K SQUARE","26.58","202004","29","12,200","8","2016"," "
"경기도 광명시 일직동","509-1","509","1","광명역 효성해링턴 타워 The First","23.88","202004","2","15,000","14","2017"," "
"경기도 광명시 일직동","509-1","509","1","광명역 효성해링턴 타워 The First","23.8","202004","16","14,700","9","2017"," "
"경기도 광명시 일직동","518","518","0","광명역파크자이","24.99","202004","9","14,000","4","null"," "
"경기도 광명시 일직동","518","518","0","광명역파크자이","24.99","202004","15","14,500","5","null"," "
"경기도 광명시 일직동","518","518","0","광명역파크자이","24.99","202004","15","15,300","3","null"," "
