"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200401 ~ 20200430"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 도로명주소"
"시도 : 전체"
"시군구 : 전체"
"도로명 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"강원도 강릉시 교동","972-3","0972","0003","아펠리아","36.41","61.25","202004","12","11,300","5","2018","원대로30번길 11"
"강원도 강릉시 교동","972-3","0972","0003","아펠리아","23.82","40.07","202004","13","8,500","5","2018","원대로30번길 11"
"강원도 강릉시 교동","972-3","0972","0003","아펠리아","23.82","40.07","202004","13","8,500","2","2018","원대로30번길 11"
"강원도 강릉시 교동","972-3","0972","0003","아펠리아","23.82","40.07","202004","13","8,500","3","2018","원대로30번길 11"
"강원도 강릉시 내곡동","267","0267","0000","기산그린타운","49.57","93.19","202004","4","8,200","1","1997","범일로 528"
"강원도 강릉시 내곡동","267","0267","0000","기산그린타운","30.59","57.51","202004","7","4,300","3","1997","범일로 528"
"강원도 강릉시 내곡동","267","0267","0000","기산그린타운","30.59","57.51","202004","10","4,650","4","1997","범일로 528"
"강원도 강릉시 내곡동","267","0267","0000","기산그린타운","30.59","57.51","202004","29","5,000","4","1997","범일로 528"
"강원도 강릉시 노암동","337","0337","0000","개나리","50.46","62.55","202004","24","4,300","3","1983","노암길41번길 14"
"강원도 강릉시 대전동","565-3","0565","0003","다올캐슬타운","93.52","149.53","202004","25","25,000","2","2019","과학단지로21번길 5-30"
"강원도 강릉시 연곡면 영진리","357-30","0357","0030","ES프라우드","42.7954","26.19","202004","8","12,000","6","2016","영진길 33"
"강원도 강릉시 연곡면 영진리","357-30","0357","0030","ES프라우드","42.7954","26.19","202004","8","12,000","4","2016","영진길 33"
"강원도 강릉시 옥계면 현내리","351-1","0351","0001","은하수","57.78","86.88","202004","28","4,520","3","1984","현내시장길 52"
"강원도 강릉시 임당동","89-21","0089","0021","세화","70.71","48.4","202004","21","7,200","1","1981","경강로2095번길 6-1"
"강원도 강릉시 임당동","89-21","0089","0021","세화","65.62","47","202004","30","7,350","1","1981","경강로2095번길 6-1"
"강원도 강릉시 주문진읍 교항리","43","0043","0000","마이티빌리지","59.06","49.19","202004","10","14,036","4","2019","매맥이윗길 13-1"
"강원도 강릉시 포남동","1134-3","1134","0003","용지","57.87","50.58","202004","21","7,000","5","1985","경강로 2217"
"강원도 강릉시 포남동","314-1","0314","0001","파인빌리지","26.62","57.84","202004","3","7,850","2","2018","난설헌로78번길 29-9"
"강원도 강릉시 홍제동","139-6","0139","0006","삼진","49.95","24.66","202004","6","3,300","2","1980","홍제로 34"
"강원도 고성군 거진읍 반암리","16-2","0016","0002","반암비치하우스","39.3","26.3","202004","27","1,900","3","1992","반암길 18-1"
"강원도 동해시 구미동","429","0429","0000","북평주공1차","46.79","93.21","202004","13","4,750","2","1986","구미3길 46"
"강원도 동해시 구미동","429","0429","0000","북평주공1차","46.79","93.21","202004","22","4,300","2","1986","구미3길 46"
"강원도 동해시 발한동","597-42","0597","0042","금강주택(나동)","29.16","34","202004","22","2,000","1","1988","수원지2길 3-1"
