index,위도,경도,도로명주소,API,교통,마트편의점,교육시설,의료시설,음식점카페,문화공간
0,127.429534904,36.452162882,대전광역시 대덕구 신탄진동 신탄진로834번길 15,"{'교통': 0, '마트편의점': 27, '교육시설': 92, '의료시설': 60, '음식점카페': 408, '문화공간': 2}",0,27,92,60,408,2
1,127.427568192,36.335544082,대전광역시 동구 삼성동 대전로867번길 52,"{'교통': 2, '마트편의점': 55, '교육시설': 182, '의료시설': 115, '음식점카페': 1163, '문화공간': 22}",2,55,182,115,1163,22
2,127.460624143,36.328158413,대전광역시 동구 용운동 용운로 163,"{'교통': 0, '마트편의점': 25, '교육시설': 73, '의료시설': 29, '음식점카페': 272, '문화공간': 10}",0,25,73,29,272,10
3,127.336334399,36.304357765,대전광역시 서구 관저동 도안남로 146,"{'교통': 0, '마트편의점': 37, '교육시설': 214, '의료시설': 90, '음식점카페': 726, '문화공간': 5}",0,37,214,90,726,5
4,127.336122622,36.304899971,대전광역시 서구 관저동 도안남로 143,"{'교통': 0, '마트편의점': 33, '교육시설': 207, '의료시설': 90, '음식점카페': 694, '문화공간': 5}",0,33,207,90,694,5
5,127.382384641,36.342612095,대전광역시 서구 괴정동 계룡로536번길 12,"{'교통': 1, '마트편의점': 107, '교육시설': 366, '의료시설': 280, '음식점카페': 1433, '문화공간': 15}",1,107,366,280,1433,15
6,127.339866604,36.330342886,대전광역시 서구 도안동 도안북로 101,"{'교통': 0, '마트편의점': 24, '교육시설': 95, '의료시설': 17, '음식점카페': 346, '문화공간': 3}",0,24,95,17,346,3
7,127.378839658,36.352908320,대전광역시 서구 둔산동 대덕대로 223,"{'교통': 4, '마트편의점': 105, '교육시설': 488, '의료시설': 363, '음식점카페': 1760, '문화공간': 25}",4,105,488,363,1760,25
8,127.379985783,36.354735507,대전광역시 서구 둔산동 대덕대로 246,"{'교통': 3, '마트편의점': 95, '교육시설': 503, '의료시설': 377, '음식점카페': 1725, '문화공간': 23}",3,95,503,377,1725,23
9,127.379985459,36.354966839,대전광역시 서구 둔산동 대덕대로 248,"{'교통': 3, '마트편의점': 91, '교육시설': 487, '의료시설': 369, '음식점카페': 1676, '문화공간': 22}",3,91,487,369,1676,22
10,127.387248298,36.350314189,대전광역시 서구 둔산동 둔산중로 40,"{'교통': 3, '마트편의점': 105, '교육시설': 582, '의료시설': 404, '음식점카페': 1712, '문화공간': 27}",3,105,582,404,1712,27
11,127.388774390,36.351586649,대전광역시 서구 둔산동 둔산로 133,"{'교통': 3, '마트편의점': 92, '교육시설': 567, '의료시설': 336, '음식점카페': 1476, '문화공간': 25}",3,92,567,336,1476,25
12,127.380203428,36.359444439,대전광역시 서구 둔산동 청사로 148,"{'교통': 2, '마트편의점': 66, '교육시설': 268, '의료시설': 243, '음식점카페': 1146, '문화공간': 32}",2,66,268,243,1146,32
13,127.387256579,36.352638472,대전광역시 서구 둔산동 둔산중로 66,"{'교통': 3, '마트편의점': 91, '교육시설': 586, '의료시설': 368, '음식점카페': 1562, '문화공간': 26}",3,91,586,368,1562,26
14,127.387115930,36.351592664,대전광역시 서구 둔산동 둔산중로 54,"{'교통': 3, '마트편의점': 97, '교육시설': 588, '의료시설': 399, '음식점카페': 1664, '문화공간': 26}",3,97,588,399,1664,26
15,127.387871708,36.356309482,대전광역시 서구 둔산동 둔산북로 121,"{'교통': 2, '마트편의점': 63, '교육시설': 417, '의료시설': 234, '음식점카페': 972, '문화공간': 19}",2,63,417,234,972,19
