address,detail,sgg
강원도 강릉시 견소동 경강로2539번길 22,매매,5
강원도 강릉시 견소동 경강로2539번길 22,전세,3
강원도 강릉시 견소동 경강로2539번길 8,매매,3
강원도 강릉시 견소동 경강로2539번길 8,전세,1
강원도 강릉시 교동 가작로 170,매매,1
강원도 강릉시 교동 가작로 71,월세,9
강원도 강릉시 교동 가작로 71,전세,1
강원도 강릉시 교동 가작로 78,매매,2
강원도 강릉시 교동 가작로 78,월세,1
강원도 강릉시 교동 가작로 78,전세,1
강원도 강릉시 교동 가작로 85,월세,1
강원도 강릉시 교동 교동광장로 138-12,매매,5
강원도 강릉시 교동 교동광장로 138-12,월세,1
강원도 강릉시 교동 교동광장로 138-15,매매,2
강원도 강릉시 교동 교동광장로 138-15,전세,1
강원도 강릉시 교동 교동광장로 163,매매,1
강원도 강릉시 교동 명륜로 109-4,매매,1
강원도 강릉시 교동 명륜로 95-7,매매,1
강원도 강릉시 교동 명륜로 95-8,월세,1
강원도 강릉시 교동 수리골길17번길 21,매매,1
강원도 강릉시 교동 수리골길17번길 35,매매,2
강원도 강릉시 교동 옛강일길 41,매매,1
강원도 강릉시 교동 원대로30번길 11,매매,4
강원도 강릉시 교동 정원로 53-4,월세,5
강원도 강릉시 교동 정원로 53-4,전세,2
강원도 강릉시 교동 정원로 53-9,매매,1
강원도 강릉시 교동 정원로 53-9,전세,1
강원도 강릉시 교동 종합운동장길 92,매매,3
강원도 강릉시 교동 하슬라로 124,매매,4
강원도 강릉시 교동 하슬라로 124,전세,1
강원도 강릉시 교동 하슬라로10번길 7,매매,1
강원도 강릉시 교동 화부산로 29,매매,2
강원도 강릉시 교동 화부산로141번길 45,매매,2
강원도 강릉시 교동 화부산로141번길 48,매매,1
강원도 강릉시 교동 화부산로40번길 29,매매,1
강원도 강릉시 남문동 홍제로 7-17,매매,1
강원도 강릉시 남항진동 공항길127번길 22,매매,6
강원도 강릉시 내곡동 강변로 114,매매,3
강원도 강릉시 내곡동 강변로 114,전세,1
강원도 강릉시 내곡동 강변로172번안길 12-2,월세,1
강원도 강릉시 내곡동 관대길 63,매매,1
강원도 강릉시 내곡동 관대길16번길 6,매매,1
강원도 강릉시 내곡동 남부로125번길 37,매매,1
